"lon","lat","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
37.157398,-0.502137,18.4501037597656,11.5183334350586,74.2758941650391,107.216209411621,26.8592491149902,11.3517503738403,15.5074987411499,19.199291229248,17.1783332824707,19.4297504425049,17.0181655883789,1353,328,36,86.7763824462891,675,120,464,125
32.196487,-0.065307,21.7179164886475,7.7497501373291,82.763313293457,50.7173957824707,26.3957500457764,17.0319995880127,9.36375045776367,22.0884590148926,21.0748748779297,22.267707824707,21.0127506256104,1563,243,65,43.0644721984863,633,243,347,256
38.282757,6.42367,21.3687076568604,15.0834579467773,74.486213684082,81.7028198242188,31.5329990386963,11.2829999923706,20.25,21.5948753356934,21.765209197998,22.5238742828369,20.6593742370605,1045,146,21,50.1691017150879,376,87,261,348
31.453483,-28.891491,19.3744583129883,10.8272504806519,59.6394805908203,258.586669921875,27.3077507019043,9.15324974060059,18.1545009613037,22.3564586639404,16.0482082366943,22.3840827941895,16.0482082366943,1085,146,29,50.9452438354492,422,101,413,101
30.162855,-23.736912,18.478551864624,12.1518955230713,59.2248153686523,306.959075927734,26.9277496337891,6.40950012207031,20.5182495117188,21.628625869751,14.2315835952759,21.628625869751,14.2315835952759,968,188,17,76.1162033081055,497,54,497,54
30.15081,-1.960449,20.0356979370117,11.0992708206177,84.8389739990234,34.2675819396973,26.8020000457764,13.7192497253418,13.0827503204346,19.9613742828369,20.0949993133545,20.4464588165283,19.7830829620361,1047,182,9,57.1191558837891,434,59,193,314
30.841164,-29.79934,20.0251770019531,9.94397926330566,53.9093246459961,284.395690917969,27.8217506408691,9.37600040435791,18.4457511901855,23.3576240539551,16.3269577026367,23.3576240539551,16.3269577026367,973,133,21,47.3447265625,373,103,373,103
30.700213,-29.771711,18.6616973876953,10.8742294311523,54.5347480773926,306.326568603516,26.8642501831055,6.92425012588501,19.9400005340576,22.1142921447754,14.9762916564941,22.1493339538574,14.6096668243408,927,133,18,54.6802101135254,378,81,369,81
36.855271,-1.197903,19.8828029632568,12.0045204162598,74.2911529541016,116.233840942383,28.6749992370605,12.5162496566772,16.158748626709,20.8445415496826,18.4559173583984,21.2243328094482,18.2584590911865,776,164,14,75.3582153320312,364,46,286,57
30.03815,0.350522,16.4252510070801,10.4529581069946,85.9653625488281,38.1529731750488,22.9274997711182,10.7679996490479,12.1595001220703,16.3035831451416,16.6153755187988,16.9310836791992,16.0334167480469,1453,180,62,35.8261604309082,498,230,387,276
13,-13.011389,24.6440525054932,9.17781257629395,60.7963180541992,231.435852050781,31.4325008392334,16.3365001678467,15.0960006713867,26.9273338317871,21.3272075653076,26.9273338317871,21.3272075653076,391,146,0,126.321899414062,263,1,263,1
30.738925,-29.77239,18.6616973876953,10.8742294311523,54.5347480773926,306.326568603516,26.8642501831055,6.92425012588501,19.9400005340576,22.1142921447754,14.9762916564941,22.1493339538574,14.6096668243408,927,133,18,54.6802101135254,378,81,369,81
30.768892,-29.779137,18.6616973876953,10.8742294311523,54.5347480773926,306.326568603516,26.8642501831055,6.92425012588501,19.9400005340576,22.1142921447754,14.9762916564941,22.1493339538574,14.6096668243408,927,133,18,54.6802101135254,378,81,369,81
18.539477,-33.85331,17.3784065246582,10.3531455993652,52.9904708862305,339.179595947266,27.5214996337891,7.9837498664856,19.5377502441406,13.1447496414185,21.3808326721191,21.3808326721191,13.1447496414185,599,101,15,67.0036010742188,287,51,51,287
31.146886,-23.935794,22.2453231811523,13.4324378967285,59.4480590820312,329.606201171875,31.6872501373291,9.09200000762939,22.5952491760254,25.7836246490479,17.7249584197998,25.7836246490479,17.7249584197998,546,105,4,81.5375823974609,288,17,288,17
30.022128,-23.84973,17.7712917327881,12.0723752975464,59.3222541809082,312.970184326172,26.1457500457764,5.79524993896484,20.3505001068115,20.96262550354,13.4277086257935,20.96262550354,13.4277086257935,981,187,17,74.4839553833008,497,56,497,56
48.253404,-13.825989,25.7331314086914,9.74354839324951,71.4615249633789,132.588165283203,31.6258068084717,17.9911289215088,13.6346778869629,26.6633071899414,23.8674736022949,26.9416675567627,23.8674736022949,1985,501,18,103.03199005127,1236,64,827,64
28.22657,-25.769972,17.8724994659424,13.8554582595825,56.7004280090332,389.880065917969,27.9349994659424,3.49874997138977,24.4362487792969,21.3917503356934,12.5240001678467,21.7916660308838,12.5240001678467,695,129,3,80.531608581543,350,15,337,15
37.373418,5.674642,21.9149055480957,13.388729095459,75.8085021972656,105.684226989746,31.5607490539551,13.8994998931885,17.6612491607666,22.5341243743896,22.8317909240723,23.3457908630371,20.6200828552246,858,137,25,51.1056022644043,338,88,138,167
30.899727,-29.85286,20.4024124145508,9.30166625976562,52.3789100646973,277.865570068359,27.9165782928467,10.1581583023071,17.7584190368652,23.6849555969238,16.8131580352783,23.6849555969238,16.8131580352783,999,131,22,43.8253173828125,375,116,375,116
30.490578,0.416397,20.86891746521,10.5401248931885,86.515022277832,38.5094871520996,27.2472496032715,15.0642499923706,12.1829996109009,20.6967086791992,21.0530834197998,21.3930416107178,20.5155830383301,1176,167,41,44.0103187561035,456,176,298,197
30.437449,0.397766,20.86891746521,10.5401248931885,86.515022277832,38.5094871520996,27.2472496032715,15.0642499923706,12.1829996109009,20.6967086791992,21.0530834197998,21.3930416107178,20.5155830383301,1176,167,41,44.0103187561035,456,176,298,197
30.352241,0.599613,19.7672080993652,10.8120832443237,86.5971221923828,40.9702758789062,26.3417491912842,13.8562498092651,12.485499382019,19.5849990844727,19.947582244873,20.3304576873779,19.3294582366943,1381,203,46,46.1885948181152,543,188,347,237
30.358948,0.612388,19.7672080993652,10.8120832443237,86.5971221923828,40.9702758789062,26.3417491912842,13.8562498092651,12.485499382019,19.5849990844727,19.947582244873,20.3304576873779,19.3294582366943,1381,203,46,46.1885948181152,543,188,347,237
30.492557,0.41605,20.86891746521,10.5401248931885,86.515022277832,38.5094871520996,27.2472496032715,15.0642499923706,12.1829996109009,20.6967086791992,21.0530834197998,21.3930416107178,20.5155830383301,1176,167,41,44.0103187561035,456,176,298,197
30.491463,0.416744,20.86891746521,10.5401248931885,86.515022277832,38.5094871520996,27.2472496032715,15.0642499923706,12.1829996109009,20.6967086791992,21.0530834197998,21.3930416107178,20.5155830383301,1176,167,41,44.0103187561035,456,176,298,197
30.923105,-25.781592,19.5370006561279,13.1509170532227,59.2683982849121,318.08203125,28.6867504119873,6.4980001449585,22.1887512207031,22.9428749084473,15.2132911682129,22.9428749084473,15.2132911682129,851,152,8,76.9538803100586,415,31,415,31
31.000922,-25.317907,19.8107814788818,12.7303123474121,58.7591323852539,319.982147216797,28.8309993743896,7.16575002670288,21.6652488708496,23.2574157714844,15.4467086791992,23.2574157714844,15.4467086791992,829,141,12,73.8810501098633,401,39,401,39
30.094827,-0.225171,21.9740314483643,10.6498546600342,88.2816314697266,34.8582344055176,28.1852493286133,16.1217498779297,12.0634994506836,21.8164176940918,21.7877082824707,22.4134998321533,21.6417922973633,1021,131,27,42.9814872741699,378,143,198,338
30.923011,-25.781443,19.5370006561279,13.1509170532227,59.2683982849121,318.08203125,28.6867504119873,6.4980001449585,22.1887512207031,22.9428749084473,15.2132911682129,22.9428749084473,15.2132911682129,851,152,8,76.9538803100586,415,31,415,31
18.533965,-33.750755,17.2805309295654,10.7982702255249,52.6404647827148,360.117004394531,28.2277507781982,7.71449995040894,20.5132503509521,13.6479167938232,21.502124786377,21.5268745422363,12.8154163360596,574,97,15,66.4466094970703,273,51,52,272
30.835588,-29.775847,20.0251770019531,9.94397926330566,53.9093246459961,284.395690917969,27.8217506408691,9.37600040435791,18.4457511901855,23.3576240539551,16.3269577026367,23.3576240539551,16.3269577026367,973,133,21,47.3447265625,373,103,373,103
