"lon","lat","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
-75.883258,45.589734,4.65638542175293,10.6236877441406,24.6713943481445,1153.64929199219,25.5445003509521,-17.5162506103516,43.0607528686523,13.3030834197998,-9.2165002822876,18.1367492675781,-10.2289581298828,1012,98,64,14.2155494689941,287,201,281,213
-75.886943,45.579649,4.65638542175293,10.6236877441406,24.6713943481445,1153.64929199219,25.5445003509521,-17.5162506103516,43.0607528686523,13.3030834197998,-9.2165002822876,18.1367492675781,-10.2289581298828,1012,98,64,14.2155494689941,287,201,281,213
-75.896762,45.593746,4.65638542175293,10.6236877441406,24.6713943481445,1153.64929199219,25.5445003509521,-17.5162506103516,43.0607528686523,13.3030834197998,-9.2165002822876,18.1367492675781,-10.2289581298828,1012,98,64,14.2155494689941,287,201,281,213
-75.89556,45.592417,4.65638542175293,10.6236877441406,24.6713943481445,1153.64929199219,25.5445003509521,-17.5162506103516,43.0607528686523,13.3030834197998,-9.2165002822876,18.1367492675781,-10.2289581298828,1012,98,64,14.2155494689941,287,201,281,213
-75.897019,45.592723,4.65638542175293,10.6236877441406,24.6713943481445,1153.64929199219,25.5445003509521,-17.5162506103516,43.0607528686523,13.3030834197998,-9.2165002822876,18.1367492675781,-10.2289581298828,1012,98,64,14.2155494689941,287,201,281,213
-75.90022,45.592062,4.65638542175293,10.6236877441406,24.6713943481445,1153.64929199219,25.5445003509521,-17.5162506103516,43.0607528686523,13.3030834197998,-9.2165002822876,18.1367492675781,-10.2289581298828,1012,98,64,14.2155494689941,287,201,281,213
-73.503158,42.768997,8.00673961639404,11.5083541870117,29.5262012481689,995.177062988281,27.5062503814697,-11.4704999923706,38.976749420166,19.9330005645752,-4.71562480926514,19.9330005645752,-4.71562480926514,1002,100,58,15.712158203125,293,198,293,198
-71.213457,41.680962,10.0551986694336,10.613751411438,30.3006134033203,886.862121582031,27.7476787567139,-7.28049516677856,35.0281753540039,1.75485050678253,18.2324562072754,20.9005680084229,-0.925335347652435,1204,115,85,9.50590133666992,331,267,277,309
-70.934551,42.099866,9.92533302307129,10.54212474823,29.9211673736572,889.377258300781,27.9402503967285,-7.29274988174438,35.2330017089844,1.45537495613098,18.3868751525879,20.9177093505859,-1.08429169654846,1210,114,86,9.04710483551025,332,266,274,313
-90.615254,47.732874,2.97770833969116,11.1828336715698,26.4707508087158,1109.39440917969,23.6000003814697,-18.6459999084473,42.2460021972656,16.0209579467773,-11.2607498168945,16.0209579467773,-11.2607498168945,706,94,19,46.3267288208008,273,77,273,77
-70.934599,42.099842,9.92533302307129,10.54212474823,29.9211673736572,889.377258300781,27.9402503967285,-7.29274988174438,35.2330017089844,1.45537495613098,18.3868751525879,20.9177093505859,-1.08429169654846,1210,114,86,9.04710483551025,332,266,274,313
-79.304951,45.050463,4.89499998092651,11.0352077484131,27.1776390075684,1069.67565917969,24.7437496185303,-15.8602495193481,40.6040000915527,7.19208335876465,-3.01995849609375,17.4242916107178,-8.82066631317139,1089,113,67,16.2069644927979,328,216,258,264
-77.410347,43.192975,8.74085426330566,9.83837509155273,27.4803428649902,948.367431640625,27.2285003662109,-8.57299995422363,35.8014984130859,10.5201244354248,-2.32491660118103,20.291374206543,-3.04754161834717,861,86,50,16.3916912078857,249,164,233,177
-91.843256,46.981837,4.26990604400635,10.3373956680298,24.6487922668457,1107.95056152344,24.3847503662109,-17.5540008544922,41.9387512207031,17.2388744354248,-10.0633335113525,17.2388744354248,-10.0633335113525,753,101,19,48.7727127075195,300,72,300,72
-78.709556,45.163895,4.65635442733765,11.2145004272461,27.2515754699707,1075.85729980469,24.7970008850098,-16.3547496795654,41.1517486572266,6.88875007629395,-3.29124999046326,17.2933330535889,-9.13595771789551,1061,112,69,14.9623165130615,314,212,254,255
-73.530633,42.442292,8.18120861053467,12.01087474823,30.9019050598145,978.021057128906,27.7707500457764,-11.0970001220703,38.8677520751953,17.8443336486816,-3.13074994087219,19.9119167327881,-4.30295848846436,1014,99,62,13.6624279022217,294,210,291,210
-71.127774,42.480617,10.0437994003296,11.0724363327026,30.1766681671143,926.667907714844,28.7291774749756,-7.96286487579346,36.6920433044434,1.12480103969574,18.885721206665,21.4278526306152,-1.48938989639282,1127,105,83,7.77399730682373,307,257,260,288
-71.081749,42.453141,10.0437994003296,11.0724363327026,30.1766681671143,926.667907714844,28.7291774749756,-7.96286487579346,36.6920433044434,1.12480103969574,18.885721206665,21.4278526306152,-1.48938989639282,1127,105,83,7.77399730682373,307,257,260,288
-71.090386,42.462963,10.0437994003296,11.0724363327026,30.1766681671143,926.667907714844,28.7291774749756,-7.96286487579346,36.6920433044434,1.12480103969574,18.885721206665,21.4278526306152,-1.48938989639282,1127,105,83,7.77399730682373,307,257,260,288
-93.201492,45.406822,6.26793718338013,11.9907083511353,26.3286113739014,1210.31774902344,27.914249420166,-17.6282501220703,45.5424995422363,20.2975826263428,-9.57804203033447,20.2975826263428,-9.57804203033447,744,112,20,52.7925567626953,312,68,312,68
-73.760621,43.171759,7.43602085113525,11.5605001449585,29.1953926086426,1002.86065673828,27.1180000305176,-12.4790000915527,39.5970001220703,19.4739990234375,-4.21087503433228,19.4739990234375,-5.34975004196167,1031,103,60,13.2681503295898,288,213,288,214
-71.120117,44.039955,6.10866689682007,12.6329584121704,30.8940391540527,1000.09967041016,26.2299995422363,-14.6612501144409,40.8912506103516,1.47108340263367,-5.42525005340576,18.2222919464111,-6.59775018692017,1222,126,88,10.7636852264404,343,271,312,290
-73.164689,44.029411,6.34648942947388,11.4736042022705,28.6256866455078,1026.13159179688,26.213249206543,-13.8682498931885,40.0814971923828,18.5735836029053,-5.65729141235352,18.5735836029053,-6.7818751335144,1040,118,55,20.4996471405029,314,187,314,195
-78.640763,42.693934,7.60677099227905,10.4642496109009,29.1763668060303,945.812805175781,25.9037494659424,-9.96175003051758,35.8655014038086,9.40029144287109,-3.50220847129822,18.9500827789307,-4.31325006484985,1024,105,60,15.4009580612183,289,203,279,223
-122.893444,45.507127,11.1096773147583,11.3743124008179,43.7259140014648,539.887878417969,26.6987495422363,0.685999989509583,26.0127487182617,5.15795850753784,17.745792388916,17.9558334350586,4.7720832824707,1195,199,18,64.7854537963867,564,85,90,528
-71.080789,42.452175,10.0437994003296,11.0724363327026,30.1766681671143,926.667907714844,28.7291774749756,-7.96286487579346,36.6920433044434,1.12480103969574,18.885721206665,21.4278526306152,-1.48938989639282,1127,105,83,7.77399730682373,307,257,260,288
-93.19972,45.409478,6.26793718338013,11.9907083511353,26.3286113739014,1210.31774902344,27.914249420166,-17.6282501220703,45.5424995422363,20.2975826263428,-9.57804203033447,20.2975826263428,-9.57804203033447,744,112,20,52.7925567626953,312,68,312,68
-75.891587,45.598991,4.65638542175293,10.6236877441406,24.6713943481445,1153.64929199219,25.5445003509521,-17.5162506103516,43.0607528686523,13.3030834197998,-9.2165002822876,18.1367492675781,-10.2289581298828,1012,98,64,14.2155494689941,287,201,281,213
-72.480988,42.342066,7.70430183410645,12.3116874694824,31.7858352661133,957.016052246094,27.2057495117188,-11.5275001525879,38.7332496643066,11.9760417938232,-3.54658341407776,19.2349586486816,-4.35274982452393,1156,105,81,7.10902404785156,304,262,302,267
-72.586609,42.270466,9.08660411834717,12.7103748321533,32.3203315734863,967.828979492188,28.9922504425049,-10.3339996337891,39.3262481689453,13.7094583511353,-2.13808345794678,20.7885837554932,-3.15766668319702,1144,105,78,7.23716735839844,301,258,293,263
-76.394488,44.967573,5.61838531494141,10.5331869125366,25.4806423187256,1103.71850585938,25.9327487945557,-15.4052495956421,41.3379974365234,8.05424976348877,-2.58829188346863,18.5962085723877,-8.57679176330566,900,95,53,15.3446102142334,260,181,242,191
-72.333227,41.980747,8.46708297729492,11.4788751602173,31.1745929718018,926.425231933594,26.9540004730225,-9.86725044250488,36.8212509155273,4.67220830917358,-2.43816685676575,19.635124206543,-3.18295836448669,1248,114,89,5.74307346343994,330,297,304,300
-91.206612,47.386147,3.20596861839294,12.0963544845581,27.5070304870605,1136.72937011719,24.3237495422363,-19.6517505645752,43.9755020141602,16.5034999847412,-11.4791250228882,16.5034999847412,-11.4791250228882,759,100,19,45.4504013061523,291,81,291,81
-76.203055,42.490213,7.22414588928223,10.3400001525879,28.6369075775146,949.854370117188,25.6702499389648,-10.4370002746582,36.107250213623,16.5260829925537,-3.88162517547607,18.6356258392334,-4.75929164886475,1011,103,62,14.600775718689,286,202,282,207
-75.866709,45.601601,4.65638542175293,10.6236877441406,24.6713943481445,1153.64929199219,25.5445003509521,-17.5162506103516,43.0607528686523,13.3030834197998,-9.2165002822876,18.1367492675781,-10.2289581298828,1012,98,64,14.2155494689941,287,201,281,213
-70.839956,42.122088,9.92533302307129,10.54212474823,29.9211673736572,889.377258300781,27.9402503967285,-7.29274988174438,35.2330017089844,1.45537495613098,18.3868751525879,20.9177093505859,-1.08429169654846,1210,114,86,9.04710483551025,332,266,274,313
-72.753288,42.470495,7.39088535308838,12.1638126373291,31.4975738525391,961.04736328125,26.8325004577637,-11.7857503890991,38.6182518005371,11.868124961853,-3.8987500667572,18.9552917480469,-4.72891664505005,1204,113,87,7.83093214035034,319,272,310,280
-87.629272,46.654613,4.59414577484131,10.7309579849243,28.0718555450439,1017.99298095703,24.2789993286133,-13.9477500915527,38.226749420166,12.349458694458,-8.09633350372314,16.855583190918,-8.09633350372314,822,95,39,22.0144309997559,261,150,232,150
-71.098183,42.296897,10.0208892822266,10.8347997665405,29.9898128509521,914.172729492188,28.4906673431396,-7.63759994506836,36.1282653808594,1.26644444465637,18.7088890075684,21.2581787109375,-1.33533334732056,1158,109,85,8.15251159667969,317,261,269,298
-91.740686,45.465728,5.71566677093506,12.3249998092651,27.0947589874268,1193.85314941406,27.3052501678467,-18.1832504272461,45.4885025024414,19.5754165649414,-9.95233345031738,19.5754165649414,-9.95233345031738,816,114,21,50.044376373291,322,80,322,80
-75.88339,41.24032,9.02912521362305,11.6069583892822,31.55029296875,937.255859375,27.7747497558594,-9.01399993896484,36.7887496948242,18.0085411071777,-1.90425002574921,20.2768745422363,-2.75824999809265,1028,110,62,17.6664447784424,311,200,305,200
